#                        id   b      mag     nPix_g     nPix_s       sky    skyErr_s   skyStdErr_s    magErr_r    magErr_s    magErr_t    delMag_p    delMag_m
NGVSJ12:26:38.09+11:53:30.7   Z   18.772      30075      61724    16.730   1.010e-01     5.050e-02   3.037e-02   3.068e-04   5.357e-02   5.195e-02   5.456e-02
NGVSJ12:26:38.25+13:04:44.2   U   19.906      65893     395359     0.651   1.398e-02     6.989e-03   1.277e-02   1.786e-04   4.702e-02   4.491e-02   4.685e-02
NGVSJ12:26:38.25+13:04:44.2   G   18.595     136657     384324     1.323   1.131e-02     5.655e-03   5.601e-03   6.222e-05   2.369e-02   2.276e-02   2.325e-02
NGVSJ12:26:38.25+13:04:44.2   R   18.136     136657     386414     1.336   3.676e-02     1.838e-02   5.786e-03   1.325e-04   4.921e-02   4.792e-02   5.013e-02
NGVSJ12:26:38.25+13:04:44.2   I   17.910     136657     394987     3.550   6.434e-02     3.217e-02   1.065e-02   1.884e-04   6.976e-02   6.749e-02   7.197e-02
NGVSJ12:26:38.25+13:04:44.2   Z   18.157      65893     399526     4.635   9.707e-02     4.853e-02   1.530e-02   2.477e-04   6.376e-02   6.180e-02   6.553e-02
NGVSJ12:26:39.81+12:30:48.8   U   17.036     136785    1202330     0.284   1.792e-02     8.958e-03   1.348e-03   2.346e-05   9.109e-03   8.642e-03   8.712e-03
NGVSJ12:26:39.81+12:30:48.8   G   15.876     176519    1139912     0.326   2.857e-02     1.428e-02   5.288e-04   1.460e-05   6.345e-03   6.117e-03   6.151e-03
NGVSJ12:26:39.81+12:30:48.8   R   15.315     136785    1139074     0.186   3.755e-02     1.878e-02   4.281e-04   1.008e-05   3.933e-03   3.721e-03   3.734e-03
NGVSJ12:26:39.81+12:30:48.8   I   15.041     136785    1151302     4.411   6.304e-02     3.152e-02   7.908e-04   1.314e-05   4.985e-03   4.850e-03   4.872e-03
NGVSJ12:26:39.81+12:30:48.8   Z   14.951     108337    1220617     5.196   4.259e-02     2.130e-02   9.795e-04   7.274e-06   2.619e-03   2.392e-03   2.397e-03
NGVSJ12:26:41.15+12:50:43.5   U   18.938      94859     240453     0.730   4.032e-02     2.016e-02   7.308e-03   2.535e-04   7.836e-02   7.540e-02   8.102e-02
NGVSJ12:26:41.15+12:50:43.5   G   17.780      94859     247345     2.400   1.883e-01     9.416e-02   2.512e-03   4.075e-04   1.256e-01   1.188e-01   1.334e-01
NGVSJ12:26:41.15+12:50:43.5   R   17.242      94859     252847     3.700   2.758e-01     1.379e-01   2.331e-03   3.637e-04   1.120e-01   1.066e-01   1.182e-01
NGVSJ12:26:41.15+12:50:43.5   I   16.754     138853     254232     6.800   3.806e-01     1.903e-01   4.161e-03   3.873e-04   1.443e-01   1.355e-01   1.549e-01
NGVSJ12:26:41.15+12:50:43.5   Z   16.700     114763     262517     8.000   4.322e-01     2.161e-01   5.955e-03   3.805e-04   1.289e-01   1.218e-01   1.372e-01
NGVSJ12:26:42.11+13:22:33.3   U   23.652       1257      32213     0.300   5.166e-02     2.583e-02   6.771e-02   2.873e-03   1.174e-01   9.735e-02   1.070e-01
NGVSJ12:26:42.11+13:22:33.3   G   21.891      12325      32213     1.330   2.012e-02     1.006e-02   3.602e-02   6.921e-04   8.110e-02   7.424e-02   7.969e-02
NGVSJ12:26:42.11+13:22:33.3   R   21.654       3255      32212     0.580   6.504e-02     3.252e-02   2.531e-02   9.242e-04   5.763e-02   5.149e-02   5.405e-02
NGVSJ12:26:42.11+13:22:33.3   I   21.235       5747      32213     2.268   7.096e-02     3.548e-02   4.809e-02   9.109e-04   7.167e-02   6.695e-02   7.135e-02
NGVSJ12:26:42.11+13:22:33.3   Z   20.767       5747      32213     3.435   1.620e-01     8.099e-02   5.643e-02   1.351e-03   1.036e-01   9.788e-02   1.076e-01
NGVSJ12:26:43.31+12:17:44.0   U   19.836      21353     130265     0.184   2.070e-02     1.035e-02   1.056e-02   1.412e-04   2.295e-02   2.043e-02   2.083e-02
NGVSJ12:26:43.31+12:17:44.0   G   18.659      46411     132156     1.262   1.360e-02     6.799e-03   4.102e-03   4.625e-05   1.156e-02   9.918e-03   1.001e-02
NGVSJ12:26:43.31+12:17:44.0   R   18.099      82231     125013     1.024   4.727e-02     2.364e-02   4.910e-03   1.278e-04   3.692e-02   3.604e-02   3.727e-02
NGVSJ12:26:43.31+12:17:44.0   I   17.833      67959     139093     1.413   4.494e-02     2.247e-02   7.932e-03   8.643e-05   2.288e-02   2.230e-02   2.277e-02
NGVSJ12:26:43.31+12:17:44.0   Z   17.973      29621     144890    22.550   4.113e-02     2.056e-02   1.690e-02   5.941e-05   1.108e-02   1.018e-02   1.027e-02
NGVSJ12:26:44.62+13:11:16.4   U   22.539      18909      36634     0.420   8.379e-02     4.190e-02   1.206e-01   6.484e-03   8.923e-01   6.509e-01   1.869e+00
NGVSJ12:26:44.62+13:11:16.4   G   21.884       6021      37612     1.113   2.584e-02     1.292e-02   3.336e-02   6.172e-04   5.443e-02   4.687e-02   4.898e-02
NGVSJ12:26:44.62+13:11:16.4   R   21.510       4115      34357     0.843   4.581e-02     2.290e-02   2.993e-02   6.409e-04   4.652e-02   4.036e-02   4.191e-02
NGVSJ12:26:44.62+13:11:16.4   I   21.376       3401      35037     1.888   6.725e-02     3.362e-02   5.660e-02   7.561e-04   4.861e-02   4.322e-02   4.501e-02
NGVSJ12:26:44.62+13:11:16.4   Z   21.471       6021      34797     4.143   9.802e-02     4.901e-02   1.320e-01   1.600e-03   1.260e-01   1.176e-01   1.319e-01
NGVSJ12:26:46.58+13:16:00.6   U   20.236      22787     189361     0.331   2.938e-02     1.469e-02   1.117e-02   2.992e-04   4.677e-02   4.426e-02   4.614e-02
NGVSJ12:26:46.58+13:16:00.6   G   18.897      68025     182972     1.236   2.316e-02     1.158e-02   5.111e-03   1.187e-04   3.164e-02   3.053e-02   3.141e-02
NGVSJ12:26:46.58+13:16:00.6   R   17.987      97949     184062     1.397   6.693e-02     3.346e-02   4.098e-03   1.781e-04   5.590e-02   5.435e-02   5.721e-02
NGVSJ12:26:46.58+13:16:00.6   I   17.827      97949     189166     2.684   1.109e-01     5.544e-02   8.220e-03   2.546e-04   7.979e-02   7.690e-02   8.276e-02
NGVSJ12:26:46.58+13:16:00.6   Z   16.263      97949     188883     7.500   3.739e-01     1.869e-01   3.144e-03   2.033e-04   6.365e-02   6.183e-02   6.556e-02
NGVSJ12:26:46.70+11:41:55.1   U   23.306       3337      45128     0.077   1.855e-02     9.277e-03   8.521e-02   1.222e-03   8.639e-02   6.841e-02   7.301e-02
NGVSJ12:26:46.70+11:41:55.1   G   22.566       4799      42884     0.240   2.313e-02     1.156e-02   4.331e-02   9.242e-04   7.316e-02   6.221e-02   6.599e-02
NGVSJ12:26:46.70+11:41:55.1   R   22.047       4799      42590    -0.098   3.319e-02     1.660e-02   4.044e-02   8.225e-04   6.343e-02   5.553e-02   5.853e-02
NGVSJ12:26:46.70+11:41:55.1   I   22.331       2323      43861     2.205   5.641e-02     2.821e-02   8.239e-02   1.263e-03   6.867e-02   5.924e-02   6.266e-02
NGVSJ12:26:46.70+11:41:55.1   Z   22.162       1603      45274    22.700   1.473e-01     7.364e-02   1.595e-01   2.345e-03   9.837e-02   9.004e-02   9.819e-02
